Time,rpm,MAP,ECT,IAT,RMT_speed,fuel_type,fuel_ctl_mode,Vbat,Vsw,Engine Hours,MAT,TIP,spk_adv,MJ_P_cmd,MJ_P_act,EGO1_volts,EGO2_volts,rIAT,BP,rMAP,CL_BM1,A_BM1,PWe_avg,FORCEIDLE_active,LOWREVLIM_active,OILP_state,MIL Staus,OILP_press,start_tmr,fuel_shutoff_chk,spark_shutoff_chk,Phi1_post_delt,Phi_UEGO,TPS_pct,TPS_cmd_pct,rpmd_gov,LoadLim_max,LoadLim_max_TPS,gov_sw_state,KNK_retard,gov_type,sync_state,OILT,MFG_TPS_cmd_pct,MFG_TPS_act_pct,MFG_DPPress,MFG_USPress,MFG_DSPress,run_mode,eng_load,AUX_PD1_raw,AUX_PU1_raw,AUX_PU2_raw,AUX_PU3_raw,AUX_PD2_raw,AUX_PD3_raw,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,min_gov_rpm,max_gov_rpm,Gov1_rpm,Gov2_rpm,Gov3_rpm,gov_min_abslimit,gov_max_abslimit
645.08,1803.6047904191619,8.672697978486653,176.10938,77.21311063218391,1798.4674115456237,2.0,3.0,27.81047428097345,27.584707754629637,27839.380859375,82.53431835347432,17.961886336750865,31.94064465408784,-1.2816533711433107,-1.1813482410181448,0.0,0.7658780184659091,77.21566242514972,13.00390625,8.732176272455009,-0.15754014432073396,-0.6053510918675187,40.55791284403651,0.0,0.0,0.0,1.0,92.44222105061348,4.920000076293945,0.0,0.0,0.009711914062499976,1.0495850058162923,23.665540358599515,23.745244806463194,1798.5992779783394,99.12374745244566,98.9959716796875,3.0,0.0,3.0,-2.0,190.0,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.723757080754087,1.9848053190443187,5.0,5.0,1.68393022649818,0.0,0.0,2.83984375,2.83984375,2.8392715669014095,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
645.183,1801.9350000000004,8.541992187500018,176.09375,77.22790948275862,1798.2756052141526,2.0,3.0,27.812610619469027,27.602448792016805,27839.380859375,82.57083333333328,17.975307550904947,31.800339366515804,-1.5051725260416258,-1.5214867225059807,0.0,0.765389036333732,77.234375,13.00390625,8.455113211077943,-0.1613045880894441,-0.7019226809581802,38.84518348623937,0.0,0.0,0.0,1.0,92.59772814417168,4.920000076293945,0.0,0.0,0.009666193181818194,1.0512722239774814,23.83021747364709,24.055003773082394,1798.2274368231047,99.12716409434444,98.9959716796875,3.0,0.0,3.0,-2.0,190.0,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.118863013482898,1.9708316392368748,5.0,5.0,1.6850946998154674,0.0,0.0,2.83984375,2.83984375,2.836643949468085,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
645.491,1797.0,8.749507748983783,176.09375,77.234375,1799.5763546798028,2.0,3.0,27.82050945378151,27.586390398550748,27839.380859375,82.70900974025972,17.568952385097493,33.35480501392758,-0.7230442960497803,-0.8101366980600385,0.0,0.7659086044520548,77.23796452702703,13.00390625,8.755617977528042,-0.1617431640625,-0.6073993185292228,44.26898070469677,0.0,0.0,0.0,1.0,92.3253405448718,4.920000076293945,0.0,0.0,0.0096435546875,1.020027268100789,25.158648423745497,25.178706088912858,1799.0,99.139404296875,98.9959716796875,3.0,0.0,3.0,-2.0,189.99115566037736,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.714904785155944,1.9292360283905934,5.0,5.0,1.6828436138327987,0.0,0.0,2.83984375,2.8158143939393963,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
645.65,1798.048275862069,8.919861469072167,176.09375,77.234375,1798.6753246753249,2.0,3.0,27.826794914874547,27.565991760450153,27839.38152669271,82.77814819109459,17.541271326601677,33.327123955431766,-0.2739541497029955,-0.3019616078522328,0.0,0.7663340111301369,77.24467905405406,13.00390625,8.962531887755068,-0.1617431640625,-0.5350003067735728,47.029532967032836,0.0,0.0,0.0,1.0,92.42407852564104,4.920000076293945,0.0,0.0,0.0096435546875,0.9823935065471076,25.46618824273761,25.05513128833237,1799.0,99.139404296875,98.9959716796875,3.0,0.0,3.0,-2.0,189.89740566037736,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,27.45107885909397,1.9378371314157388,5.0,5.0,1.6843877031996435,0.0,0.0,2.83984375,2.8125,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
645.939,1801.0,8.890477594339671,176.10938,77.28103298611109,1799.0,2.0,3.0,27.825761131974264,27.55925611413044,27839.3828125,82.74385460251047,17.72022311970339,33.3125,-0.06954478068523236,-0.041465667356920706,0.0,0.7673114483173074,77.2799632352941,13.00390625,8.88780776515156,-0.1617431640625,-0.5525661159206062,46.682870370371006,0.0,0.0,0.0,1.0,92.46087195889261,4.920000076293945,0.0,0.0,0.0096435546875,0.9883447265624992,24.27703857421877,24.123891194661745,1798.1143790849676,99.13330078125,98.9959716796875,3.0,0.0,3.0,-2.0,189.97786885245898,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,27.454117704029326,1.9533955899762425,5.0,5.0,1.6877317292873673,0.0,0.0,2.83984375,2.8125,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
646.099,1799.7734374999998,8.817949054621835,176.10938,77.29543585526316,1799.0,2.0,3.0,27.785525080472087,27.431538722826037,27839.3828125,82.74072802197804,17.71227820444915,33.3125,-0.10001823701054625,-0.09370587820031596,0.0,0.7671527908509036,77.28702445652173,13.00390625,8.845058269002369,-0.1617431640625,-0.6066729571368494,45.508798543688805,0.0,0.0,0.0,1.0,92.38327128775163,4.920000076293945,0.0,0.0,0.0096435546875,1.0169605758955025,24.309467819501858,24.35990099637013,1798.609756097561,99.13330078125,98.9959716796875,3.0,0.0,3.0,-2.0,190.0,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.652085485537054,1.950055480545212,5.0,5.0,1.6882062185894355,0.0,0.0,2.8374479166666644,2.8175798766816147,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
646.426,1798.4807692307695,8.841032608695715,176.125,77.296875,1799.0,2.0,3.0,27.843942110655732,27.577628625690593,27839.3828125,82.77264492753623,17.585466394472387,33.35696517412936,-0.1621544383396645,-0.09953290403857268,0.0,0.7661865234374998,77.30149943946189,13.00390625,8.83213925691244,-0.1617431640625,-0.5795565518465817,46.13199200913253,0.0,0.0,0.0,1.0,92.1981314432988,4.920000076293945,0.0,0.0,0.0096435546875,1.0470201080920651,25.03809461406624,25.054811963847985,1798.9901960784312,99.1392105344742,98.9959716796875,3.0,0.0,3.0,-2.0,190.0,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,27.028801027408417,1.9328641056075795,4.9995137894595105,5.0,1.6838751714676607,0.0,0.0,2.8373537101593644,2.8243140243902416,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
646.594,1799.7500000000007,8.915734547970459,176.15625,77.30275974025975,1799.0,2.0,3.0,27.822425717213108,27.544997410220986,27839.3828125,82.76478658536583,17.634932474874397,33.35944976076554,-0.2709960937501005,-0.16520182291669322,0.0,0.7646484375,77.3125,13.00390625,8.957579880617972,-0.1617431640625,-0.5346514727618273,46.64275956284032,0.0,0.0,0.0,1.0,91.89368556701025,4.920000076293945,0.0,0.0,0.0096435546875,1.0473719578163296,24.780490351658223,24.601177140778006,1798.1666666666665,99.1347978699882,98.9959716796875,3.0,0.0,3.0,-2.0,189.9139150943396,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,27.46099046439197,1.9370643369487113,4.999481510183665,4.999227252187608,1.6821633997203416,0.0,0.0,2.83984375,2.8182158546325864,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
646.907,1800.7531249999997,8.779209018166087,176.14062,77.3125,1798.1681034482758,2.0,3.0,27.80481647995283,27.49713541666666,27839.3828125,82.68806818181817,17.66650683008982,33.371590909090905,-0.9852066660315346,-1.3241780598959205,0.0,0.7637706938244044,77.3125,13.00390625,8.801032590482553,-0.1594156901041662,-0.5896783644153304,43.41717069892437,0.0,0.0,0.0,1.0,92.12941176470585,4.920000076293945,0.0,0.0,0.0096435546875,1.0509737454927885,24.045873571325156,24.16275401174286,1798.8637770897833,99.13330078125,98.9959716796875,3.0,0.0,3.0,-2.0,189.97491909385113,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.929453621923376,1.9499388933181763,5.0,4.998811358497257,1.6825396418571479,0.0,0.0,2.83984375,2.8153165236051514,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
647.074,1799.187500000001,8.659575043252648,176.15625,77.32584850993376,1798.8879310344826,2.0,3.0,27.811065051020407,27.571836890243883,27839.3828125,82.74076212471131,17.652834955089826,33.39775345622119,-1.1446463732214833,-1.4369567871094295,0.0,0.7627999441964288,77.3125,13.00390625,8.69260011729224,-0.15669759114583423,-0.6252986128612064,42.43514784946269,0.0,0.0,0.0,1.0,92.34853316326523,4.920000076293945,0.0,0.0,0.009607826791158548,1.0441889628827827,24.316348231790453,24.41491791696236,1799.0,99.13330078125,98.9959716796875,3.0,0.0,3.0,-2.0,189.94990458015272,0.0,0.0,0.0,8.52778148651123,8.52778148651123,3.0,26.363433567823822,1.9431067745337365,5.0,5.0,1.6834184093908833,0.0,0.0,2.83984375,2.8211914062499956,2.83203125,1000.0,1850.0,1800.0,1500.0,1800.0,1000.0,1850.0
