Time,rpm,MAP,MILout_mirror,Vsw,Vbat,ECT,IAT,MJ_P_cmd,MJ_P_act,TIP,EGO1_volts,OILP_press,TIP_MAP_DELTA,RMT_speed,spk_adv,fuel_shutoff_chk,spark_shutoff_chk,fuel_type,OILP_state,MAT,LOWREVLIM_active,FORCEIDLE_active,BP,PWe_avg,FPin,FT,CL_BM1,Phi1_post_delt,A_BM1,EGO2_volts,fuel_ctl_mode,EGO1Z_ohms,EGO2Z_ohms,Phi_UEGO,TPS_cmd_pct,TPS_pct,gov_sw_state,rpmd_gov,gov_type,LoadLim_max,LoadLim_max_TPS,FPP_cmd_pct,FPP_pct,FPP1_pct,FPP2_pct,FPP1_idle,FPP2_idle,FPP1_full,FPP2_full,FPP1_rawfilt,FPP2_rawfilt,IVS State,KNK_retard,RS_speed,RS_speed_d,RS_pulses_per_km,start_tmr,sync_state,AUX_DIG1_volt,AUX_DIG2_volt,AUX_DIG3_volt,AUX_PU1_raw,AUX_PU2_raw,AUX_PUD1_raw,AUX_PD1_raw,AUX_PD2_raw,AUX_PUD2_raw,AUX_PUD3_raw,Gov1_volt,Gov2_volt,CAN_Rx_packs,CAN_Tx_packs,CAN2_Rx_packs,CAN2_Tx_packs,ME0mstr_MAP,ME0slv1_MAP
101.978,1805.472313,6.231270032,0,13.83063162,14.02254572,142.6286408,99.05616694,-0.288752537,-0.412602659,14.83302331,0.189130229,56.44581653,8.601753281,1800,28.5,0,0,2,0,109.3936492,0,0,14.5,7.535146509,46.796875,92.5625,-0.746663411,0,-1.893053557,0.03828125,3,194,18695.05036,0,14.05990188,14.36246745,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20000.15457,34783.45513,0,0,6.25,0
102.283,1800,6.17265625,0,13.8423381,14.01953125,142.7645089,99.03576389,-0.190077878,-0.185255941,14.79718572,0.752330433,56.3412642,8.624529474,1800,28.5,0,0,2,0,109.4854167,0,0,14.5,7.62046371,46.796875,92.5625,-0.744628906,0,-1.865108429,0.05557251,3,194,18755.17266,0,13.78091841,14.31321364,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20045.56,34863.35526,0,0,6.25,0
102.738,1799.325843,6.381429951,0,13.81353878,14.01953125,142.9051966,99.0625,-0.550743103,-0.659396537,14.765625,0.201528913,56.31656901,8.384195049,1800,28.5,0,0,2,0,109.5776529,0,0,14.5,7.21875,46.796875,92.5625,-0.744628906,0,-1.766412908,0.059048739,3,202.1946223,18811.00128,0,14.5321074,14.58044717,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20115.92269,34982.81818,0,0,6.296296296,0
103.069,1798,6.395850244,0,13.8515625,14.01872997,143.1105769,99.0625,-0.124001243,-0.11517334,14.77003205,0.809630555,56.31838474,8.374181808,1800,28.5,0,0,2,0,109.5637175,0,0,14.5,7.734420821,46.796875,92.5625,-0.724538167,0,-1.691382272,0.040929159,3,208.9756722,18847.87324,0,15.04545748,14.53546595,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20166.84211,35070.41026,0,0,6.41025641,0
103.454,1799.079545,6.402870435,0,13.8515625,14.01697198,143.3527299,99.0625,-0.618385052,-0.490518504,14.79732922,0.748905577,56.17462713,8.39445878,1800,28.5,0,0,2,0,109.611171,0,0,14.5,7.232548701,46.796875,92.5625,-0.723266602,0,-1.745683719,0.063138522,3,192.3684211,18854,0,14.81491892,14.68264931,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20225.86364,35168.53488,0,0,6.469827586,0
103.894,1803.387755,6.294150905,0,13.84552557,14.0234375,143.6105769,99.0625,-0.199859619,-0.144032664,14.80078125,0.819037896,56.33685065,8.506630345,1800,28.5,0,0,2,0,109.6909091,0,0,14.5,7.860085227,46.796875,92.5625,-0.723266602,0,-1.802852236,0.041447782,3,191.7752809,18515.70787,0,14.06834635,14.61809137,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20293.60526,35284.33333,0,0,6.375,0
103.994,1803.795918,6.272563734,0,13.8384233,14.0234375,143.6746795,99.0625,-0.319723276,-0.237297554,14.80078125,0.804769937,56.33887987,8.528217516,1800,28.5,0,0,2,0,109.7136364,0,0,14.5,7.741776316,46.796875,92.56939935,-0.749225858,0,-1.809927133,0.038370768,3,192,18534.55263,0,14.00423552,14.57913047,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20308.86842,35310.74359,0,0,6.375,0
104.274,1805.423529,6.220982143,0,13.83463542,14.02204241,143.8372713,99.0625,-0.526565,-0.404943259,14.80078125,0.772940499,56.33170181,8.579799107,1800,28.5,0,0,2,0,109.782003,0,0,14.5,7.327302632,46.796875,92.59212662,-0.840083255,0,-1.823073167,0.034339318,3,192,18948.65789,0,14.42923295,14.38799406,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20351.42308,35383.63158,0,0,6.342105263,0
104.708,1804.703608,6.148709327,0,13.86579241,14.015625,143.9967023,99.0625,-0.172725444,-0.158654056,14.79874449,0.789644825,56.21581783,8.650035163,1800,28.5,0,0,2,0,109.848521,0,0,14.5,7.586637931,46.796875,92.59375,-0.85144043,0,-1.904167624,0.065495549,3,207.7090909,19030,0,14.33722409,14.34914775,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20417.53846,35497.45455,0,0,6.205949657,0
105.086,1798.46114,6.099113504,0,13.81855165,14.0163408,144.1333661,99.0625,-0.395569167,-0.308622299,14.78957379,0.71904524,56.20500729,8.690460285,1800,28.5,0,0,2,0,109.9226132,0,0,14.5,7.408261803,46.796875,92.59375,-0.887997612,0,-1.801430896,0.039603883,3,194.2926829,18641.69648,0,14.35973618,14.34212343,3,1800,3,99.99389648,99.89624023,0,0,0,0,0.999969423,0.999969423,3.499969482,3.499969482,7.636852387804538e-05,7.636852387804538e-05,0,0,0,12,137000,5.150000095,-2,2.67578125,2.703125,2.49609375,5,5,5,5,5,5,5,0.5,0.5,20475.2,35597.92412,0,0,6.157356948,0
